itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
José Javier Pomés,politikari,gizonezkoa,Iruñea,,1952-03-12T00:00:00Z
César Palacios,futbolari,gizonezkoa,Iruñea,,1974-10-19T00:00:00Z
Jokin Esparza,futbolari,gizonezkoa,Iruñea,,1988-06-15T00:00:00Z
Enrique Martín Monreal,futbol entrenatzaile,gizonezkoa,Iruñea,,1956-03-09T00:00:00Z
Enrique Martín Monreal,futbolari,gizonezkoa,Iruñea,,1956-03-09T00:00:00Z
Joaquín Vidal,gudari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Vidal%20Mun%C3%A1rriz%2C%20Joaqu%C3%ADn%20%28en%201937%29.jpg,1900
Roberto Martínez Celigüeta,futbolari,gizonezkoa,Iruñea,,1966-02-21T00:00:00Z
Ion Erize,futbolari,gizonezkoa,Iruñea,,1986-11-03T00:00:00Z
Fran Moreno,futbolari,gizonezkoa,Iruñea,,1984-05-07T00:00:00Z
Marta Moreno,futbolari,emakumezkoa,Iruñea,,1982-12-18T00:00:00Z
Michael Navarrus,musikagile,gizonezkoa,Iruñea,,1563-01-01T00:00:00Z
Michael Navarrus,Kapera-maisu,gizonezkoa,Iruñea,,1563-01-01T00:00:00Z
Oneka Gartzia,,emakumezkoa,Iruñea,,0838-01-01T00:00:00Z
Pablo Colino,musikagile,gizonezkoa,Iruñea,,1934-01-25T00:00:00Z
Pablo Colino,Kapera-maisu,gizonezkoa,Iruñea,,1934-01-25T00:00:00Z
Pablo Colino,apaiz katoliko,gizonezkoa,Iruñea,,1934-01-25T00:00:00Z
Patxi Ripodas,futbol entrenatzaile,gizonezkoa,Iruñea,,1960-09-13T00:00:00Z
Patxi Ripodas,futbolari,gizonezkoa,Iruñea,,1960-09-13T00:00:00Z
Ricardo Uriz,saskibaloi jokalari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20uriz.PNG,1980-07-30T00:00:00Z
Serafin Areta,futbolari,gizonezkoa,Iruñea,,1930-11-29T00:00:00Z
Maider Esparza,gimnasta erritmikoa,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Maider%20Esparza%2001.PNG,1979-04-28T00:00:00Z
Eduardo Inda,erreportari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Indaa.jpg,1967-07-15T00:00:00Z
Eduardo Inda,kazetari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Indaa.jpg,1967-07-15T00:00:00Z
Jorge Perez,igerilari,gizonezkoa,Iruñea,,1972-04-24T00:00:00Z
Tiburcio Otsakar,politikari,gizonezkoa,Iruñea,,1869-01-01T00:00:00Z
Tiburcio Otsakar,sindikalista,gizonezkoa,Iruñea,,1869-01-01T00:00:00Z
Ainhoa Tirapu,futbolari,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ainhoa%20Tirapu.JPG,1984-09-04T00:00:00Z
Alfredo Urdaci Iriarte,telebista aurkezle,gizonezkoa,Iruñea,,1959-12-22T00:00:00Z
Alfredo Urdaci Iriarte,kazetari,gizonezkoa,Iruñea,,1959-12-22T00:00:00Z
Amaia Garbaio,igerilari,emakumezkoa,Iruñea,,1970-03-26T00:00:00Z
Ana Yabar Sterling,abokatu,emakumezkoa,Iruñea,,1948-09-07T00:00:00Z
Ana Yabar Sterling,politikari,emakumezkoa,Iruñea,,1948-09-07T00:00:00Z
Ana Yabar Sterling,ekonomialari,emakumezkoa,Iruñea,,1948-09-07T00:00:00Z
Ana Yabar Sterling,unibertsitateko irakasle,emakumezkoa,Iruñea,,1948-09-07T00:00:00Z
Anaitz Arbilla,futbolari,gizonezkoa,Iruñea,,1987-05-15T00:00:00Z
Jesús Lisarri,beisbol jokalari,gizonezkoa,Iruñea,,1967-09-07T00:00:00Z
Beatriz Recari,golf-jokalari,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/2009%20Women%27s%20British%20Open%20-%20Beatriz%20Recari%20%283%29.jpg,1987-04-21T00:00:00Z
Javi Gracia,entrenatzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Gracia%20Carlos.jpg,1970-05-01T00:00:00Z
Javi Gracia,futbol entrenatzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Gracia%20Carlos.jpg,1970-05-01T00:00:00Z
Javi Gracia,futbolari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Gracia%20Carlos.jpg,1970-05-01T00:00:00Z
Aitor Aldeondo,futbolari,gizonezkoa,Iruñea,,1975-01-25T00:00:00Z
Pernando Barrena,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Pernando%20Barrena%20%2848908204821%29.jpg,1965-11-01T00:00:00Z
Pernando Barrena,itzultzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Pernando%20Barrena%20%2848908204821%29.jpg,1965-11-01T00:00:00Z
Daniel Ruiz Vives,motoziklista,gizonezkoa,Iruñea,,1992-04-15T00:00:00Z
Txomin Larrainzar,futbolari,gizonezkoa,Iruñea,,1969-09-08T00:00:00Z
Eneko Romo,futbolari,gizonezkoa,Iruñea,,1979-01-19T00:00:00Z
Erika Vázquez,futbolari,emakumezkoa,Iruñea,,1983-02-16T00:00:00Z
Miguel Martínez-Lage,itzultzaile,gizonezkoa,Iruñea,,1961-01-01T00:00:00Z
Patxi Ugarte,txirrindulari,gizonezkoa,Iruñea,,1977-12-03T00:00:00Z
Juan José Urdiain,saskibaloi jokalari,gizonezkoa,Iruñea,,1965-03-19T00:00:00Z
Francisco Javier Ekisoain,eskubaloi jokalari,gizonezkoa,Iruñea,,1962-05-07T00:00:00Z
Francisco Javier Ekisoain,eskubaloi entrenatzaile,gizonezkoa,Iruñea,,1962-05-07T00:00:00Z
Blanca Basiano,telebista aurkezle,emakumezkoa,Iruñea,,1980-01-01T00:00:00Z
Blanca Basiano,kazetari,emakumezkoa,Iruñea,,1980-01-01T00:00:00Z
Ricardo Laspidea,eskultore,gizonezkoa,Iruñea,,1972-10-21T00:00:00Z
Félix Lavilla Munarritz,piano-jotzaile,gizonezkoa,Iruñea,,1928-06-11T00:00:00Z
Mariano Ansó,politikari,gizonezkoa,Iruñea,,1899-01-21T00:00:00Z
Gervasio Cruzat y Góngora,politikari,gizonezkoa,Iruñea,,1600-01-01T00:00:00Z
Manuel Giménez Abad,politikari,gizonezkoa,Iruñea,,1948-12-04T00:00:00Z
Patxi Irigibel,futbolari,gizonezkoa,Iruñea,,1951-04-18T00:00:00Z
Joxemiel Bidador,idazle,gizonezkoa,Iruñea,,1970-03-28T00:00:00Z
Joxemiel Bidador,poeta,gizonezkoa,Iruñea,,1970-03-28T00:00:00Z
Joxemiel Bidador,ikertzaile,gizonezkoa,Iruñea,,1970-03-28T00:00:00Z
Adolfo Fernández Casanova,arkitekto,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Adolfo%20Fern%C3%A1ndez%20Casanova%20%28anterior%201915%29%20retrato.png,1843-01-01T00:00:00Z
Adolfo Fernández Casanova,historialari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Adolfo%20Fern%C3%A1ndez%20Casanova%20%28anterior%201915%29%20retrato.png,1843-01-01T00:00:00Z
Ana Casares,atleta,emakumezkoa,Iruñea,,1971-06-21T00:00:00Z
Ander Janín,aktore,gizonezkoa,Iruñea,,1975-02-25T00:00:00Z
José Luis Aliaga Jiménez,unibertsitateko irakasle,gizonezkoa,Iruñea,,1966-01-01T00:00:00Z
José Luis Aliaga Jiménez,hizkuntzalari,gizonezkoa,Iruñea,,1966-01-01T00:00:00Z
Ana Iriarte,idazle,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Ana%20Iriarte%20para%20WIKI.jpg,1956-03-23T00:00:00Z
Ana Iriarte,historialari,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Ana%20Iriarte%20para%20WIKI.jpg,1956-03-23T00:00:00Z
Ana Iriarte,unibertsitateko irakasle,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20Ana%20Iriarte%20para%20WIKI.jpg,1956-03-23T00:00:00Z
Arturo Kanpion,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Arturo Kanpion,abokatu,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Arturo Kanpion,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Arturo Kanpion,hizkuntzalari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Pedro Salaberri,margolari,gizonezkoa,Iruñea,,1947-05-01T00:00:00Z
Lorea Elso,gimnasta erritmikoa,emakumezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Lorea%20Elso%2001.PNG,1973-06-08T00:00:00Z
Lucia Bakedano,idazle,emakumezkoa,Iruñea,,1938-12-18T00:00:00Z
Jesus Mari Ilundain,futbolari,gizonezkoa,Iruñea,,1942-05-31T00:00:00Z
Ramón Castro,abokatu,gizonezkoa,Iruñea,,1853-03-29T00:00:00Z
Ramón Castro,politikari,gizonezkoa,Iruñea,,1853-03-29T00:00:00Z
David García Markina,txirrindulari,gizonezkoa,Iruñea,,1970-04-11T00:00:00Z
Jesús Aizpún,abokatu,gizonezkoa,Iruñea,,1928-06-17T00:00:00Z
Jesús Aizpún,politikari,gizonezkoa,Iruñea,,1928-06-17T00:00:00Z
Javier Rojo,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javierr.JPG,1949-03-02T00:00:00Z
Chema Jiménez,futbolari,gizonezkoa,Iruñea,,1976-05-09T00:00:00Z
Ignacio Coyne,gidoilari,gizonezkoa,Iruñea,,1872-01-01T00:00:00Z
Ignacio Coyne,argazkilari,gizonezkoa,Iruñea,,1872-01-01T00:00:00Z
Ignacio Coyne,zinema zuzendari,gizonezkoa,Iruñea,,1872-01-01T00:00:00Z
Xabier Etxeberria Ezponda,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Echeverr%C3%ADa%202019.jpg,1948-03-02T00:00:00Z
Xabier Etxeberria Ezponda,unibertsitateko irakasle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Echeverr%C3%ADa%202019.jpg,1948-03-02T00:00:00Z
Xabier Etxeberria Ezponda,filosofo,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Echeverr%C3%ADa%202019.jpg,1948-03-02T00:00:00Z
Xabier Etxeberria Ezponda,saiakeragile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Echeverr%C3%ADa%202019.jpg,1948-03-02T00:00:00Z
Ramón Andrés,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Andr%C3%A9s%202018.jpg,1955-01-01T00:00:00Z
Ramón Andrés,poeta,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Andr%C3%A9s%202018.jpg,1955-01-01T00:00:00Z
Ramón Andrés,itzultzaile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Andr%C3%A9s%202018.jpg,1955-01-01T00:00:00Z
Ramón Andrés,musikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Andr%C3%A9s%202018.jpg,1955-01-01T00:00:00Z
Ramón Andrés,musika-kritikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Andr%C3%A9s%202018.jpg,1955-01-01T00:00:00Z
Ramón Andrés,musikologo,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Ram%C3%B3n%20Andr%C3%A9s%202018.jpg,1955-01-01T00:00:00Z
Jorge Barbarin,futbolari,gizonezkoa,Iruñea,,1971-05-07T00:00:00Z
Jose Agerre,idazle,gizonezkoa,Iruñea,,1889-12-29T00:00:00Z
Jose Agerre,politikari,gizonezkoa,Iruñea,,1889-12-29T00:00:00Z
Jose Luis Lizundia,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Euskaltzaindia%20Arantzazu%20JosebaIntxausti.jpg,1938-04-09T00:00:00Z
Jose Luis Lizundia,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Euskaltzaindia%20Arantzazu%20JosebaIntxausti.jpg,1938-04-09T00:00:00Z
Manuel Cide,poeta,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Author%20Manuel%20cide.jpg,1945-02-28T00:00:00Z
Manuel Cide,antzerkigile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Author%20Manuel%20cide.jpg,1945-02-28T00:00:00Z
Marta Coronado Arraya,performer,emakumezkoa,Iruñea,,1973-01-01T00:00:00Z
Marta Coronado Arraya,koreografo,emakumezkoa,Iruñea,,1973-01-01T00:00:00Z
Marta Coronado Arraya,dantzari,emakumezkoa,Iruñea,,1973-01-01T00:00:00Z
Juan Jose Benitez,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Jose%20Ben%C3%ADtez%2C%202011.jpg,1946-09-07T00:00:00Z
Juan Jose Benitez,kazetari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Jose%20Ben%C3%ADtez%2C%202011.jpg,1946-09-07T00:00:00Z
Juan Jose Benitez,zientzia-fikzio idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Jose%20Ben%C3%ADtez%2C%202011.jpg,1946-09-07T00:00:00Z
Migel Zalba,apaiz katoliko,gizonezkoa,Iruñea,,1374-01-01T00:00:00Z
Ismael López,futbolari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Isma%20L%C3%B3pez.jpg,1990-01-29T00:00:00Z
Maiorga Ramirez,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Maiorga%20Ram%C3%ADrez.jpg,1976-07-20T00:00:00Z
Alfredo Jaime,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/AlfredoJIrujo.jpg,1942-05-22T00:00:00Z
Helena Resano,berriemaile,emakumezkoa,Iruñea,,1974-02-09T00:00:00Z
Helena Resano,telebista aurkezle,emakumezkoa,Iruñea,,1974-02-09T00:00:00Z
Helena Resano,kazetari,emakumezkoa,Iruñea,,1974-02-09T00:00:00Z
Joxemi Redin,musikagile,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/2013-08-24%20Chiemsee%20Reggae%20Summer%20-%20Ska-P%204990.JPG,1969-05-25T00:00:00Z
