itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Iñaki Ortega Cachón,politikari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1aki%20Ortega%20Cach%C3%B3n.jpg,1972-01-01T00:00:00Z
Jaime Gonzalo,musika-kritikari,gizonezkoa,Bilbo,,1957-01-01T00:00:00Z
Jaime Gonzalo,kazetari,gizonezkoa,Bilbo,,1957-01-01T00:00:00Z
Javier González Etxebarria,futbol entrenatzaile,gizonezkoa,Bilbo,,1964-05-21T00:00:00Z
Javier José Loidi,botanikari,gizonezkoa,Bilbo,,1953-01-01T00:00:00Z
Javier Otaola Bajeneta,idazle,gizonezkoa,Bilbo,,1956-02-20T00:00:00Z
Javier Otaola Bajeneta,abokatu,gizonezkoa,Bilbo,,1956-02-20T00:00:00Z
Jesús María Amilibia,telebista aurkezle,gizonezkoa,Bilbo,,1943-01-01T00:00:00Z
Jesús María Amilibia,kazetari,gizonezkoa,Bilbo,,1943-01-01T00:00:00Z
Jesús Romeo,enpresaburu,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Jes%C3%BAs%20Romeo%20Gorr%C3%ADa%2C%20Ministro%20do%20Trabalho%20da%20Espanha.tif,1906-10-30T00:00:00Z
Raúl Fernández-Cavada,futbolari,gizonezkoa,Bilbo,,1988-03-13T00:00:00Z
Óscar García Burón,saskibaloi jokalari,gizonezkoa,Bilbo,,1979-03-04T00:00:00Z
Sergio Corino,futbolari,gizonezkoa,Bilbo,,1974-10-10T00:00:00Z
Javier Casas,futbolari,gizonezkoa,Bilbo,,1982-05-09T00:00:00Z
Javier Garai,abeslari,gizonezkoa,Bilbo,,1946-12-16T00:00:00Z
Margarita López Maturana,moja,emakumezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Pilar%20L%C3%B3pez%20de%20Maturana.jpg,1884-07-25T00:00:00Z
Carlos Zubiaga,abeslari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Zubiaga%20%282009%29.jpg,1941-10-08T00:00:00Z
David Herrero,txirrindulari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Herrero.jpg,1979-10-18T00:00:00Z
Julen Madariaga,abokatu,gizonezkoa,Bilbo,,1932-10-11T00:00:00Z
Julen Madariaga,politikari,gizonezkoa,Bilbo,,1932-10-11T00:00:00Z
José Fernández de la Sota,idazle,gizonezkoa,Bilbo,,1960-01-01T00:00:00Z
José Fernández de la Sota,kazetari,gizonezkoa,Bilbo,,1960-01-01T00:00:00Z
Garikoitz Aspiazu,terrorista,gizonezkoa,Bilbo,,1973-07-06T00:00:00Z
Kepa Junkera,musikagile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Kepa%20junkera%200001.jpg,1965-04-10T00:00:00Z
Mikel Kortina,futbolari,gizonezkoa,Bilbo,,1974-03-26T00:00:00Z
Juan Ruiz Antxia,argazki-zuzendari,gizonezkoa,Bilbo,,1949-06-12T00:00:00Z
Jon Cortina,ingeniari,gizonezkoa,Bilbo,,1934-12-08T00:00:00Z
Jon Cortina,misiolari,gizonezkoa,Bilbo,,1934-12-08T00:00:00Z
Jon Cortina,apaiz katoliko,gizonezkoa,Bilbo,,1934-12-08T00:00:00Z
Jon Cortina,unibertsitateko irakasle,gizonezkoa,Bilbo,,1934-12-08T00:00:00Z
Efrén Vázquez,motoziklista,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Efr%C3%A9n%20V%C3%A1zquez%20Losail%202010.jpg,1986-09-02T00:00:00Z
Carlos Ruiz,mediku,gizonezkoa,Bilbo,,1948-06-07T00:00:00Z
Carlos Ruiz,futbolari,gizonezkoa,Bilbo,,1948-06-07T00:00:00Z
Fernando García Macua,abokatu,gizonezkoa,Bilbo,,1963-07-18T00:00:00Z
Sergio Muñiz,aktore,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20muniz%20in%20tres%2C%20teatro%20verdi%20%28fi%29%202013%2C%2001.jpg,1975-09-24T00:00:00Z
Sergio Muñiz,abeslari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20muniz%20in%20tres%2C%20teatro%20verdi%20%28fi%29%202013%2C%2001.jpg,1975-09-24T00:00:00Z
Sergio Muñiz,modelo,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20muniz%20in%20tres%2C%20teatro%20verdi%20%28fi%29%202013%2C%2001.jpg,1975-09-24T00:00:00Z
Manuel Gomez Arribas,futbol arbitro,gizonezkoa,Bilbo,,1920-01-01T00:00:00Z
Jesus Garai,futbolari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Jes%C3%BAs%20Garay%201962.jpg,1930-09-10T00:00:00Z
Francisco José Arnaiz,apaiz katoliko,gizonezkoa,Bilbo,,1925-03-09T00:00:00Z
Francisco José Arnaiz,teologo,gizonezkoa,Bilbo,,1925-03-09T00:00:00Z
Francisco José Arnaiz,unibertsitateko irakasle,gizonezkoa,Bilbo,,1925-03-09T00:00:00Z
Tontxu,egile abeslari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Tontxu%20cropped.jpg,1971-08-17T00:00:00Z
Tontxu,kantugile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Tontxu%20cropped.jpg,1971-08-17T00:00:00Z
Tontxu,irrati-esatari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Tontxu%20cropped.jpg,1971-08-17T00:00:00Z
Tontxu,egile abeslari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Tontxu%20cropped.jpg,1972-08-17T00:00:00Z
Tontxu,kantugile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Tontxu%20cropped.jpg,1972-08-17T00:00:00Z
Tontxu,irrati-esatari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Tontxu%20cropped.jpg,1972-08-17T00:00:00Z
Iñigo Pírfano,musikagile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%8D%C3%B1igo%20Pirfano.jpg,1973-01-01T00:00:00Z
Iñigo Pírfano,orkestra zuzendari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%8D%C3%B1igo%20Pirfano.jpg,1973-01-01T00:00:00Z
Iñigo Pírfano,musikagile,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1igo%20P%C3%ADrfano.jpg,1973-01-01T00:00:00Z
Iñigo Pírfano,orkestra zuzendari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/I%C3%B1igo%20P%C3%ADrfano.jpg,1973-01-01T00:00:00Z
Juan Manuel Lopez Iturriaga,telebista aurkezle,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Juanma%20L%C3%B3pez%20Iturriaga.jpg,1959-02-04T00:00:00Z
Juan Manuel Lopez Iturriaga,saskibaloi jokalari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Juanma%20L%C3%B3pez%20Iturriaga.jpg,1959-02-04T00:00:00Z
